SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
ERP109263			
SRP056863			
SRP167833	GSE122139	30559436	PMC6297235
SRP062757			
SRP100533	GSE95200	28483876	PMC5490891
SRP011924	GSE36761	27496870	
SRP081573	GSE85527		
SRP116561			
SRP056216	GSE66953	26593720	
SRP013022	GSE37918	23580553	PMC3664824
ERP113133			
SRP066440	GSE75210	27211859	PMC5032147
SRP037713	GSE54903	24828743	PMC4020777
SRP068912	GSE77219		
ERP105778			
SRP117487			
SRP117480			
ERP008793			
ERP010889			
DRP003421			
SRP054167			
SRP155573	GSE117828		
SRP067490	GSE76093	27079292	PMC5322813
SRP041820	GSE57480	24939936	PMC4066403
SRP118242			
SRP064345	GSE73610	26979953	PMC4822608
SRP059031	GSE69511	30266989	PMC6372575
SRP073509	GSE80446	28347403	PMC5370184
SRP013724	GSE38676	23245995	
SRP073042	GSE80087	27165742	PMC4946168
SRP032367	GSE51861	28680106	PMC5498581
ERP105564			
SRP076029	GSE82174	27681428	PMC5063083
SRP002487	GSE21918	20371350	PMC2861495
SRP102999	GSE97356	29249826	PMC5802695
SRP050172			
SRP061848	GSE71569	26896798	PMC4797308
SRP171058	GSE123078	30971824	PMC6607432
SRP013633			
SRP198481	GSE131249	31799603	PMC6954439
SRP075921	GSE82072	27401344	PMC4986524
SRP017699	GSE43167	23622242	PMC3651894
SRP094566	GSE90883	28890086	PMC5658016
SRP009123	GSE33294	23766440	PMC3995272
ERP022260			
SRP017937	GSE43463		
ERP114364			
ERP019971			
SRP080737			
SRP056128			
ERP108662			
SRP079936	GSE84878	28538178	PMC5510986
SRP069875	GSE77796	27019403	PMC6638201
SRP056966	GSE67659	27401177	PMC5010902
SRP009310	GSE33665	22384406	PMC3284335
ERP113092			
SRP040327	GSE56052	25246589	PMC4210008
SRP061561	GSE71326	27058665	PMC4826479
SRP092217	GSE89263	28709640	
SRP095890	GSE93043	29168693	PMC5708896
SRP042233	GSE57950	25428615	PMC4258296
SRP054164			
SRP095416	GSE92641	29180567	
SRP123163			
SRP092173			
SRP117470			
SRP194727	GSE130660		
SRP164658	GSE120958	30612451	PMC6411426
SRP012607	GSE37703	23222703	PMC3869392
SRP069359	GSE77597	28073001	
SRP150325			
SRP047459	GSE61727	25263445	
SRP008681	GSE32625	21915259	PMC3168439
SRP118921	GSE104286	30041471	PMC6073939
SRP062872	GSE72407	27525720	PMC5008465
ERP114365			
SRP006900	GSE29580		
SRP115304	GSE102560		
ERP112751			
SRP069960	GSE77829	31819114	PMC6901447
ERP016268			
SRP012585	GSE37686	22848339	PMC3407211
SRP077606			
ERP112912			
SRP074365			
SRP090027		28630280	PMC5559680
SRP066095	GSE74935	29635374	PMC5888497
ERP013849			
SRP041751	GSE57395	25019369	PMC4107340
SRP055517	GSE66304		
SRP002081	GSE20748	20381393	
SRP008331	GSE32307	22128135	PMC3246200
ERP004573			
ERP112773			
SRP070125	GSE77920	29385530	PMC6283421
SRP132520	GSE110380	30478324	PMC6289640
SRP092623	GSE89494	31245663	PMC6508803
SRP036053	GSE54511	25896974	PMC4526352
ERP111139			
SRP034526	GSE53369	25120000	
SRP166887	GSE121811	30988509	PMC6587593
SRP068760	GSE77120		
SRP121117			
SRP043070	GSE58354	24952381	PMC4078243
SRP012656	GSE37764	23405175	PMC3566005
SRP034007	GSE53278	25146723	
SRP050490	GSE63807	26608916	
ERP109626			
SRP158047	GSE118610	30286177	PMC6171932
SRP063885	GSE73016	27051068	PMC4868474
SRP110615	GSE100568	28696319	PMC5544284
ERP023908			
ERP114435			
SRP061776	GSE71511	27941798	PMC5285448
SRP049333	GSE62731	25551752	PMC4281219
SRP048562	GSE61950	25453903	PMC4492343
SRP059912	GSE70310	26475188	
SRP155375			
SRP158170			
SRP166896	GSE121824		
SRP012304	GSE37292		
SRP161558	GSE119844	31130960	PMC6509240
SRP043008		27046031	PMC4821583
ERP010718			
SRP061430	GSE71139	26341737	PMC4560928
SRP154393		30113693	PMC6184420
SRP094982	GSE92301	27935821	PMC5278527
SRP053046	GSE65515	27917918	PMC5137168
SRP178543	GSE124989	32117464	PMC7014930
ERP112787			
SRP126371	GSE107838	30971782	
SRP092159	GSE89226	28059768	PMC5247742
SRP010181			
SRP038759	GSE55259	24662484	PMC4011346
SRP065894	GSE74734	26766592	PMC4809063
SRP095539	GSE92773		
ERP106487			
SRP118364			
SRP058191	GSE68611	26170170	PMC4510711
SRP058435	GSE68975	26940867	PMC4884612
DRP004645			
SRP089914	GSE86922	27737018	PMC5063320
SRP089956			
SRP052740	GSE65185	26359985	PMC4821508
SRP106522	GSE98580	29247078	PMC5793802
SRP006767	GSE29163	29078418	PMC5692608
